date,year,month,geo,avg_hourly_wage
2014-01-01,2014,1,Canada,25.18
2014-01-01,2014,1,Newfoundland and Labrador,25.56
2014-01-01,2014,1,Prince Edward Island,20.9
2014-01-01,2014,1,Nova Scotia,22.35
2014-01-01,2014,1,New Brunswick,21.37
2014-01-01,2014,1,Quebec,23.67
2014-01-01,2014,1,Ontario,25.45
2014-01-01,2014,1,Manitoba,22.95
2014-01-01,2014,1,Saskatchewan,26.06
2014-01-01,2014,1,Alberta,29.07
2014-01-01,2014,1,British Columbia,24.97
2015-01-01,2015,1,Canada,25.87
2015-01-01,2015,1,Newfoundland and Labrador,24.84
2015-01-01,2015,1,Prince Edward Island,21.36
2015-01-01,2015,1,Nova Scotia,22.41
2015-01-01,2015,1,New Brunswick,21.72
2015-01-01,2015,1,Quebec,24.31
2015-01-01,2015,1,Ontario,26.18
2015-01-01,2015,1,Manitoba,23.68
2015-01-01,2015,1,Saskatchewan,26.55
2015-01-01,2015,1,Alberta,29.91
2015-01-01,2015,1,British Columbia,25.84
2016-01-01,2016,1,Canada,26.4
2016-01-01,2016,1,Newfoundland and Labrador,24.91
2016-01-01,2016,1,Prince Edward Island,21.73
2016-01-01,2016,1,Nova Scotia,23.3
2016-01-01,2016,1,New Brunswick,22.47
2016-01-01,2016,1,Quebec,24.75
2016-01-01,2016,1,Ontario,26.89
2016-01-01,2016,1,Manitoba,24.17
2016-01-01,2016,1,Saskatchewan,27.26
2016-01-01,2016,1,Alberta,30.45
2016-01-01,2016,1,British Columbia,26.03
2017-01-01,2017,1,Canada,26.81
2017-01-01,2017,1,Newfoundland and Labrador,25.37
2017-01-01,2017,1,Prince Edward Island,22.33
2017-01-01,2017,1,Nova Scotia,23.64
2017-01-01,2017,1,New Brunswick,22.77
2017-01-01,2017,1,Quebec,25.52
2017-01-01,2017,1,Ontario,27.14
2017-01-01,2017,1,Manitoba,24.77
2017-01-01,2017,1,Saskatchewan,27.33
2017-01-01,2017,1,Alberta,30.76
2017-01-01,2017,1,British Columbia,26.53
2018-01-01,2018,1,Canada,27.56
2018-01-01,2018,1,Newfoundland and Labrador,26.2
2018-01-01,2018,1,Prince Edward Island,22.48
2018-01-01,2018,1,Nova Scotia,23.97
2018-01-01,2018,1,New Brunswick,23.27
2018-01-01,2018,1,Quebec,25.93
2018-01-01,2018,1,Ontario,28.18
2018-01-01,2018,1,Manitoba,25.07
2018-01-01,2018,1,Saskatchewan,27.9
2018-01-01,2018,1,Alberta,31.37
2018-01-01,2018,1,British Columbia,27.41
2019-01-01,2019,1,Canada,28.32
2019-01-01,2019,1,Newfoundland and Labrador,26.5
2019-01-01,2019,1,Prince Edward Island,22.87
2019-01-01,2019,1,Nova Scotia,24.08
2019-01-01,2019,1,New Brunswick,23.71
2019-01-01,2019,1,Quebec,26.9
2019-01-01,2019,1,Ontario,28.97
2019-01-01,2019,1,Manitoba,25.65
2019-01-01,2019,1,Saskatchewan,28.12
2019-01-01,2019,1,Alberta,32.0
2019-01-01,2019,1,British Columbia,28.14
2020-01-01,2020,1,Canada,30.04
2020-01-01,2020,1,Newfoundland and Labrador,27.61
2020-01-01,2020,1,Prince Edward Island,24.27
2020-01-01,2020,1,Nova Scotia,25.55
2020-01-01,2020,1,New Brunswick,24.89
2020-01-01,2020,1,Quebec,28.54
2020-01-01,2020,1,Ontario,30.9
2020-01-01,2020,1,Manitoba,26.8
2020-01-01,2020,1,Saskatchewan,29.61
2020-01-01,2020,1,Alberta,33.54
2020-01-01,2020,1,British Columbia,30.15
2021-01-01,2021,1,Canada,30.69
2021-01-01,2021,1,Newfoundland and Labrador,28.45
2021-01-01,2021,1,Prince Edward Island,25.3
2021-01-01,2021,1,Nova Scotia,26.06
2021-01-01,2021,1,New Brunswick,25.53
2021-01-01,2021,1,Quebec,29.26
2021-01-01,2021,1,Ontario,31.66
2021-01-01,2021,1,Manitoba,27.2
2021-01-01,2021,1,Saskatchewan,29.68
2021-01-01,2021,1,Alberta,33.21
2021-01-01,2021,1,British Columbia,31.3
2022-01-01,2022,1,Canada,31.97
2022-01-01,2022,1,Newfoundland and Labrador,29.4
2022-01-01,2022,1,Prince Edward Island,26.84
2022-01-01,2022,1,Nova Scotia,27.41
2022-01-01,2022,1,New Brunswick,27.36
2022-01-01,2022,1,Quebec,30.95
2022-01-01,2022,1,Ontario,32.97
2022-01-01,2022,1,Manitoba,28.09
2022-01-01,2022,1,Saskatchewan,30.51
2022-01-01,2022,1,Alberta,33.64
2022-01-01,2022,1,British Columbia,32.63
2023-01-01,2023,1,Canada,33.56
2023-01-01,2023,1,Newfoundland and Labrador,31.01
2023-01-01,2023,1,Prince Edward Island,27.94
2023-01-01,2023,1,Nova Scotia,28.87
2023-01-01,2023,1,New Brunswick,28.72
2023-01-01,2023,1,Quebec,32.39
2023-01-01,2023,1,Ontario,34.63
2023-01-01,2023,1,Manitoba,29.38
2023-01-01,2023,1,Saskatchewan,31.56
2023-01-01,2023,1,Alberta,34.97
2023-01-01,2023,1,British Columbia,34.76
2024-01-01,2024,1,Canada,35.2
2024-01-01,2024,1,Newfoundland and Labrador,32.48
2024-01-01,2024,1,Prince Edward Island,29.56
2024-01-01,2024,1,Nova Scotia,30.79
2024-01-01,2024,1,New Brunswick,30.31
2024-01-01,2024,1,Quebec,33.84
2024-01-01,2024,1,Ontario,36.44
2024-01-01,2024,1,Manitoba,30.39
2024-01-01,2024,1,Saskatchewan,32.58
2024-01-01,2024,1,Alberta,36.38
2024-01-01,2024,1,British Columbia,36.65
